dataset,task,n_train,n_test,n_features,setting,perm_seed,tabpfn_seed,split_seed,main_metric,score,abs_diff,rel_diff,accuracy,roc_auc,log_loss,max_abs_dproba,label_flip_frac,fit_time,predict_time,gpu,perm_head,rmse,mae,r2,max_abs_dpred,mean_abs_dpred
scm20d,regression,7172,1794,61,default,1,42,0,r2,0.9461906052306625,0.0001520486809932775,0.00016066979583430227,,,,,,0.45551357604563236,2.2906193174421787,NVIDIA A100-SXM4-80GB,59 25 45 24 31 27 16 28 3 6,51.89950929034385,30.21665240131493,0.9461906052306625,41.640869140625,2.243718924463925
scm20d,regression,7172,1794,61,default,2,42,0,r2,0.9456865851091749,0.0006560688024808137,0.0006932677078106848,,,,,,0.4709181524813175,2.221460487693548,NVIDIA A100-SXM4-80GB,43 54 53 27 38 48 47 23 6 50,52.14200808996603,30.37230465483905,0.9456865851091749,42.670654296875,2.159047529716024
scm20d,regression,7172,1794,61,default,3,42,0,r2,0.9464350524035336,9.239849187792082e-05,9.76374587957086e-05,,,,,,0.4712100476026535,2.2223568707704544,NVIDIA A100-SXM4-80GB,22 0 3 50 38 2 17 42 30 39,51.78148966221238,30.28124950668352,0.9464350524035336,75.13671875,2.1257257535970595
scm20d,regression,7172,1794,61,default,4,42,0,r2,0.9464167216258246,7.406771416884617e-05,7.82673314604296e-05,,,,,,0.46178225614130497,2.216753236949444,NVIDIA A100-SXM4-80GB,60 48 56 23 18 33 43 36 0 27,51.79034912932208,30.242573341531234,0.9464167216258246,46.877197265625,2.2761802545757996
scm20d,regression,7172,1794,61,default,5,42,0,r2,0.9463313748321398,1.127907951592455e-05,1.1918599958802545e-05,,,,,,0.46137783490121365,2.217625703662634,NVIDIA A100-SXM4-80GB,29 31 34 28 12 32 11 59 39 42,51.83157823745056,30.254430917593147,0.9463313748321398,33.6531982421875,2.1325269548124828
scm20d,regression,7172,1794,61,n_est1,0,42,0,r2,0.9450913677546162,0.0,0.0,,,,,,0.3911527767777443,0.246587997302413,NVIDIA A100-SXM4-80GB,0 1 2 3 4 5 6 7 8 9,52.426940099862875,30.410863342625376,0.9450913677546162,0.0,0.0
scm20d,regression,7172,1794,61,n_est1,1,42,0,r2,0.9465230781717088,0.0014317104170925576,0.0015148910104787745,,,,,,0.38929845578968525,0.24715491943061352,NVIDIA A100-SXM4-80GB,59 25 45 24 31 27 16 28 3 6,51.73892470335138,30.425003885292554,0.9465230781717088,213.0147705078125,6.20571683375466
scm20d,regression,7172,1794,61,n_est1,2,42,0,r2,0.9458825104825279,0.0007911427279116978,0.0008371071357802417,,,,,,0.3902973812073469,0.24757017008960247,NVIDIA A100-SXM4-80GB,43 54 53 27 38 48 47 23 6 50,52.047876906190204,30.566050075501238,0.9458825104825279,105.547607421875,6.18567304494256
scm20d,regression,7172,1794,61,n_est1,3,42,0,r2,0.9467296815070451,0.0016383137524288438,0.0017334977424682352,,,,,,0.4570664279162884,0.2469145990908146,NVIDIA A100-SXM4-80GB,22 0 3 50 38 2 17 42 30 39,51.63888361593809,30.52648417154948,0.9467296815070451,96.874267578125,5.7137861475099285
scm20d,regression,7172,1794,61,n_est1,4,42,0,r2,0.9456889894406727,0.000597621686056482,0.0006323427622414267,,,,,,0.3901095110923052,0.2473447434604168,NVIDIA A100-SXM4-80GB,60 48 56 23 18 33 43 36 0 27,52.14085397306769,30.44681806787599,0.9456889894406727,259.7236328125,6.006379585733914
scm20d,regression,7172,1794,61,n_est1,5,42,0,r2,0.9470129612229273,0.0019215934683111113,0.0020332356572851846,,,,,,0.3979278765618801,0.2449784278869629,NVIDIA A100-SXM4-80GB,29 31 34 28 12 32 11 59 39 42,51.50139853965086,30.29139833652322,0.9470129612229273,130.2730712890625,6.2844837575718975
